24 नवंबर 1971 की रात करीब 8 बजे आसमान (Start: 0.08s, Duration: 6.279s) 
में 10000 फीट की ऊंचाई पर अमेरिकन (Start: 3.919s, Duration: 5.001s) 
एयरफोर्स के दो फाइटर जेट्स एक फ्लाइट का (Start: 6.359s, Duration: 4.801s) 
पीछा कर रहे होते हैं जिसमें एक हाईजैकर (Start: 8.92s, Duration: 4.639s) 
बैठा हुआ था यह हाईजैकर अमेरिका के (Start: 11.16s, Duration: 4.039s) 
पोर्टलैंड से (Start: 13.559s, Duration: 4.64s) 
सियाटिन (Start: 15.199s, Duration: 3.0s) 
गवर्नमेंट से $2 लाख की फिरौती वसूल चुका (Start: 18.68s, Duration: 6.519s) 
था जो आज के हिसाब से करीब 144 करोड़ होते (Start: 21.96s, Duration: 5.479s) 
हैं यह प्लेन अभी भी उसी के कंट्रोल में (Start: 25.199s, Duration: 4.801s) 
था और पायलट अभी भी उसके ही इशारे पर (Start: 27.439s, Duration: 4.881s) 
प्लेन को नो शहर की ओर फ्लाई कर रहा होता (Start: 30.0s, Duration: 5.28s) 
है इस दौरान आसमान की ऊंचाई में चारों तरफ (Start: 32.32s, Duration: 5.759s) 
अंधेरा पसरा हुआ था तेज हवाएं चल रही थी (Start: 35.28s, Duration: 6.24s) 
टेंपरेचर -7 डिी सेल्सियस था और बर्फीली (Start: 38.079s, Duration: 5.841s) 
बारिश हो रही थी इन बदतर हालातों में भी (Start: 41.52s, Duration: 5.08s) 
दोनों फाइटर जेट हाईजैक हुए प्लेन को फॉलो (Start: 43.92s, Duration: 5.119s) 
करते हुए उस पर नजर गड़ाए होते हैं ताकि (Start: 46.6s, Duration: 5.24s) 
हाईजैकर को पकड़ा जा सके लेकिन इस हाईजैकर (Start: 49.039s, Duration: 5.36s) 
के मंसूबे अमेरिकन एयरफोर्स और एफबीआई की (Start: 51.84s, Duration: 5.0s) 
सोच से कहीं ऊंचे थे काले अंधेरे तेज (Start: 54.399s, Duration: 4.921s) 
हवाओं और हड्डी जमा देने वाली ठंड के बीच (Start: 56.84s, Duration: 5.6s) 
आसमान की 10000 फीट की ऊंचाई से हाईजैकर (Start: 59.32s, Duration: 5.919s) 
पैराशूट पहनकर पैसों समेत प्लेन से जंप (Start: 62.44s, Duration: 5.24s) 
लगा देता है उसके इस कारनामे को ना तो (Start: 65.239s, Duration: 4.92s) 
प्लेन में मौजूद कोई शख्स देख सका और ना (Start: 67.68s, Duration: 5.119s) 
ही उसका पीछा कर रहे फाइटर जेट में बैठे (Start: 70.159s, Duration: 5.241s) 
पायलेट्स की नजर इस पर पड़ सकी इसके बाद (Start: 72.799s, Duration: 5.36s) 
उस हाईजैकर को मानो जमीन खा गई या फिर (Start: 75.4s, Duration: 5.359s) 
आसमान निकल गया उसका कोई नामो निशान नहीं (Start: 78.159s, Duration: 4.881s) 
मिल सका कई डिकेड्स के इन्वेस्टिगेशन के (Start: 80.759s, Duration: 5.121s) 
बाद भी ना तो उसकी लाश मिल सकी और ना ही (Start: 83.04s, Duration: 5.399s) 
